"","participant","session","expName","psychopyVersion","block_num","trial_num","corr","resp","rt","task","magnitude","num_big","has_neg","block_type","stim_name","stim_spec","enc_stimname","corr_key","encret_corr"
"112","6",1,"RetGoals_V1","2022.2.4",8,3,1,3,0.469368163000524,"Internal",0,NA,0,"10","InternTask.288.jpeg","subsub","",3,NA
"113","6",1,"RetGoals_V1","2022.2.4",9,3,1,2,0.537896986999783,"Retrieval",NA,NA,NA,"10","1_22.jpg","fruit","Encod_Stim.022.jpeg",2,NA
"114","6",1,"RetGoals_V1","2022.2.4",9,3,1,3,0.634985329000244,"Encoding",NA,NA,NA,"10","Encod_Stim.213.jpeg","fruit","",3,1
"115","6",1,"RetGoals_V1","2022.2.4",9,3,0,3,0.191443872000434,"External",2,7,NA,"10","ExAttn_Stim.213.jpeg","stars","",4,NA
"116","6",1,"RetGoals_V1","2022.2.4",9,3,1,3,0.222828968000556,"Internal",0,NA,0,"10","InternTask.213.jpeg","subadd","",3,NA
"117","6",1,"RetGoals_V1","2022.2.4",10,3,0,3,0.394510571000808,"Retrieval",NA,NA,NA,"10","1_76.jpg","building","Encod_Stim.076.jpeg",4,NA
"118","6",1,"RetGoals_V1","2022.2.4",10,3,1,2,0.914168860999723,"Encoding",NA,NA,NA,"10","Encod_Stim.076.jpeg","building","",2,0
"119","6",1,"RetGoals_V1","2022.2.4",10,3,1,2,0.609601414999759,"External",2,8,NA,"10","ExAttn_Stim.076.jpeg","triangles","",2,NA
"120","6",1,"RetGoals_V1","2022.2.4",10,3,1,2,0.524344812999459,"Internal",9,NA,0,"10","InternTask.076.jpeg","addsub","",2,NA
"121","6",1,"RetGoals_V1","2022.2.4",1,4,0,NA,NA,"Retrieval",NA,NA,NA,"40","1_153.jpg","vehicle","Encod_Stim.153.jpeg",3,NA
"122","6",1,"RetGoals_V1","2022.2.4",1,4,0,NA,NA,"Encoding",NA,NA,NA,"40","Encod_Stim.271.jpeg","vehicle","",3,0
"123","6",1,"RetGoals_V1","2022.2.4",1,4,1,4,0.562056121000069,"External",2,7,NA,"40","ExAttn_Stim.271.jpeg","diamonds","",4,NA
"124","6",1,"RetGoals_V1","2022.2.4",1,4,0,NA,NA,"Internal",2,NA,2,"40","InternTask.271.jpeg","subsub","",4,NA
"125","6",1,"RetGoals_V1","2022.2.4",2,4,1,4,0.550202862000049,"Retrieval",NA,NA,NA,"40","1_177.jpg","building","Encod_Stim.177.jpeg",4,NA
"126","6",1,"RetGoals_V1","2022.2.4",2,4,1,4,0.668289937000225,"Encoding",NA,NA,NA,"40","Encod_Stim.197.jpeg","building","",4,1
"127","6",1,"RetGoals_V1","2022.2.4",2,4,0,3,0.773326536999946,"External",2,8,NA,"40","ExAttn_Stim.197.jpeg","stars","",2,NA
"128","6",1,"RetGoals_V1","2022.2.4",2,4,0,3,0.658601353999927,"Internal",1,NA,0,"40","InternTask.197.jpeg","subadd","",4,NA
"129","6",1,"RetGoals_V1","2022.2.4",3,4,1,3,0.814011968000102,"Retrieval",NA,NA,NA,"40","1_137.jpg","vehicle","Encod_Stim.137.jpeg",3,NA
"130","6",1,"RetGoals_V1","2022.2.4",3,4,1,3,0.990900939000255,"Encoding",NA,NA,NA,"40","Encod_Stim.274.jpeg","vehicle","",3,0
"131","6",1,"RetGoals_V1","2022.2.4",3,4,1,4,0.576604979000138,"External",2,7,NA,"40","ExAttn_Stim.274.jpeg","diamonds","",4,NA
"132","6",1,"RetGoals_V1","2022.2.4",3,4,1,4,0.918240525000272,"Internal",2,NA,0,"40","InternTask.274.jpeg","subsub","",4,NA
"133","6",1,"RetGoals_V1","2022.2.4",4,4,1,4,0.30553729900015,"Retrieval",NA,NA,NA,"40","1_180.jpg","building","Encod_Stim.180.jpeg",4,NA
"134","6",1,"RetGoals_V1","2022.2.4",4,4,1,2,0.418774681999764,"Encoding",NA,NA,NA,"40","Encod_Stim.071.jpeg","building","",2,1
"135","6",1,"RetGoals_V1","2022.2.4",4,4,0,3,0.269323352999834,"External",2,7,NA,"40","ExAttn_Stim.071.jpeg","triangles","",2,NA
"136","6",1,"RetGoals_V1","2022.2.4",4,4,1,3,0.438814448000301,"Internal",0,NA,0,"40","InternTask.071.jpeg","addadd","",3,NA
"137","6",1,"RetGoals_V1","2022.2.4",5,4,0,3,0.306839281000009,"Retrieval",NA,NA,NA,"40","1_282.jpg","vehicle","Encod_Stim.282.jpeg",4,NA
"138","6",1,"RetGoals_V1","2022.2.4",5,4,1,2,0.573011565000286,"Encoding",NA,NA,NA,"40","Encod_Stim.080.jpeg","building","",2,0
"139","6",1,"RetGoals_V1","2022.2.4",5,4,0,3,0.439255957000057,"External",2,8,NA,"40","ExAttn_Stim.080.jpeg","triangles","",2,NA
"140","6",1,"RetGoals_V1","2022.2.4",5,4,1,2,0.590243964000308,"Internal",4,NA,0,"40","InternTask.080.jpeg","addsub","",2,NA
"141","6",1,"RetGoals_V1","2022.2.4",6,4,1,3,0.288881623000123,"Retrieval",NA,NA,NA,"10","1_57.jpg","vehicle","Encod_Stim.057.jpeg",3,NA
"142","6",1,"RetGoals_V1","2022.2.4",6,4,1,2,0.788771596000004,"Encoding",NA,NA,NA,"10","Encod_Stim.017.jpeg","fruit","",2,1
"143","6",1,"RetGoals_V1","2022.2.4",6,4,0,3,0.473919243000125,"External",2,8,NA,"10","ExAttn_Stim.017.jpeg","circles","",2,NA
"144","6",1,"RetGoals_V1","2022.2.4",6,4,0,3,0.310876796000173,"Internal",1,NA,0,"10","InternTask.017.jpeg","addadd","",2,NA
"145","6",1,"RetGoals_V1","2022.2.4",7,4,0,1,0.689205647000051,"Retrieval",NA,NA,NA,"10","1_106.jpg","fruit","Encod_Stim.106.jpeg",2,NA
